City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
1,Miri,MY,77.14,4.4148,114.0089,"Mega Hotel, Miri"
3,Rikitea,PF,72.12,-23.1203,-134.9692,People ThankYou
5,Sarramea,NC,78.08,-21.6421,165.8452,Guest House le Domaine du Meranki
8,Songea,TZ,64.76,-10.6833,35.65,mtakuja
11,Saint-Philippe,RE,78.39,-21.3585,55.7679,Le four à pain
13,Porbandar,IN,71.58,21.6422,69.6093,Lords Inn Porbandar
15,Grand Gaube,MU,79.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
16,Puerto Ayora,EC,67.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Touros,BR,77.72,-5.1989,-35.4608,INN NEW HORIZON
23,Pitangui,BR,63.75,-19.6828,-44.8903,Pousada Monsenhor Vicente
25,Matara,LK,83.01,5.9485,80.5353,Amaloh Boutique Resort
27,Hithadhoo,MV,81.88,-0.6,73.0833,Scoop Guest House
29,East London,ZA,67.14,-33.0153,27.9116,Tu Casa
32,Cam Ranh,VN,85.96,11.9214,109.1591,OYO 598 Peony Hotel
33,Castro,BR,60.96,-24.7911,-50.0119,CHACARA BAILLY
35,Vaini,TO,84.36,-21.2,-175.2,Keleti Beach Resort
36,Salalah,OM,77.83,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
38,Pokaran,IN,73.58,26.9167,71.9167,Motel Pokaran - RTDC
39,Arraial Do Cabo,BR,73.45,-22.9661,-42.0278,Pousada Porto Praia
42,Hasaki,JP,66.6,35.7333,140.8333,Inubosaki Kanko Hotel
43,Koumac,NC,80.24,-20.5667,164.2833,Le Monitel
44,Mahebourg,MU,79.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,Sarkhej,IN,68.13,22.9833,72.5,Hotel Royal
49,Namibe,AO,72.07,-15.1961,12.1522,Hotel Chik Chik Namibe
50,Busselton,AU,67.06,-33.65,115.3333,Observatory Guest House
51,Esperance,AU,72.77,-33.8667,121.9,Hospitality Esperance
52,Atuona,PF,77.76,-9.8,-139.0333,Villa Enata
53,New Norfolk,AU,65.91,-42.7826,147.0587,The Shingles Riverside Cottages
54,Hobart,AU,66.25,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
59,Taltal,CL,62.49,-25.4,-70.4833,Residencial Karime
63,Colares,PT,65.34,38.7992,-9.4469,Arribas Sintra Hotel
65,Salima,MW,74.97,-13.7804,34.4587,YAMIKANI LODGE
66,Saldanha,ZA,60.85,-33.0117,17.9442,Blue Bay Lodge
67,Georgetown,MY,84.88,5.4112,100.3354,Cititel Penang
69,Biak,ID,84.11,-0.9131,122.8766,Penginapan Kim
72,Teknaf,BD,79.02,20.8624,92.3058,Forestry Guesthouse
75,Kavaratti,IN,79.68,10.5669,72.642,Green leaf
78,Asind,IN,69.76,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
79,Praya,CV,75.74,14.9215,-23.5087,LT Aparthotel
80,Constitucion,CL,61.2,-35.3333,-72.4167,Hotel Boutique Las Azucenas
81,Yulara,AU,78.51,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
82,Bengkulu,ID,79.09,-3.8004,102.2655,Grage Hotel Bengkulu
83,Abu Kamal,SY,62.69,34.4506,40.9171,محطة التلفاز
85,Hwange,ZW,71.94,-18.3693,26.5019,Hwange Colliery Guest House
87,Port Lincoln,AU,64.76,-34.7333,135.8667,Port Lincoln Hotel
89,Cabo San Lucas,MX,74.52,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Hilo,US,78.53,19.7297,-155.09,Hilo Hawaiian Hotel
94,Mogadishu,SO,80.47,2.0371,45.3438,Hotel Juba
96,Port Alfred,ZA,65.17,-33.5906,26.891,The Halyards Hotel & Spa
97,Kruisfontein,ZA,61.88,-34.0033,24.7314,Oyster Bay House Rental
99,Celestun,MX,76.95,20.8667,-90.4,Posada Lilia
106,Riberalta,BO,72.77,-10.9833,-66.1,Hotel Colonial
108,Aitape,PG,81.09,-3.1374,142.3475, 
109,Sao Filipe,CV,76.68,14.8961,-24.4956,Hotel Xaguate
110,Phonhong,LA,75.96,18.5007,102.4166,Manyvong Guest House
111,Tautira,PF,75.9,-17.7333,-149.15,Pension Oaoa
114,Los Llanos De Aridane,ES,65.95,28.6585,-17.9182,Valle Aridane
116,Bambous Virieux,MU,79.21,-20.3428,57.7575,Casa Tia Villa
118,Rawson,AR,65.26,-43.3002,-65.1023,Hosteria Sampedro
120,Pacifica,US,61.09,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
121,Kiama,AU,68.45,-34.6833,150.8667,The Sebel Kiama Harbourside
125,Cidreira,BR,64.65,-30.1811,-50.2056,Hotel Castelo
126,Shimoda,JP,67.1,34.6667,138.95,Shimoda Tokyu Hotel
128,Half Moon Bay,US,61.02,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
129,Niamey,NE,71.89,13.5137,2.1098,Soluxe Hotel Niamey
134,Sao Joao Da Barra,BR,74.25,-21.6403,-41.0511,Pousada Porto De Canoas
135,Dwarka,IN,79.47,22.2394,68.9678,Hotel Narayan Avezika Comfort
137,Doha,QA,69.78,25.2867,51.5333,Mövenpick Doha
139,Antofagasta,CL,63.68,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
141,Butaritari,KI,80.96,3.0707,172.7902,Isles Sunset Lodge
143,San Felipe,VE,70.7,10.3399,-68.7425,Posada Llovizna Rodríguez
145,San Patricio,US,69.66,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Omboue,GA,76.32,-1.5746,9.2618,Hotel Olako
147,Bathsheba,BB,79.41,13.2167,-59.5167,Atlantis Hotel
148,Resistencia,AR,68.05,-27.4606,-58.9839,Niyat Urban Hotel
151,Isangel,VU,87.91,-19.55,169.2667,Tanna Lodge
152,Kaihua,CN,67.96,23.3687,104.28,Zhongyu Hotel
153,Kapaa,US,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
154,Richards Bay,ZA,73.13,-28.783,32.0377,BON Hotel Waterfront Richards Bay
