,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,-21.2078,-159.775,78.85,78,75,17.27
1,Miri,MY,4.4148,114.0089,77.14,94,40,4.61
2,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,17.27
3,Rikitea,PF,-23.1203,-134.9692,72.12,84,99,9.13
4,Dongsheng,CN,39.8161,109.9776,45.32,33,53,18.81
5,Sarramea,NC,-21.6421,165.8452,78.08,76,94,10.74
6,Jamestown,US,42.097,-79.2353,38.84,62,0,3.44
7,Albany,US,42.6001,-73.9662,38.05,79,12,3.27
8,Songea,TZ,-10.6833,35.65,64.76,91,43,4.88
9,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,100,10.36
10,Tyret Pervaya,RU,53.6703,102.3106,7.86,60,100,12.59
11,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,32,9.91
12,Asau,RO,46.4333,26.4,33.28,95,33,4.47
13,Porbandar,IN,21.6422,69.6093,71.58,60,0,0.0
14,Sovetskiy,RU,61.3614,63.5842,-4.49,99,6,1.54
15,Grand Gaube,MU,-20.0064,57.6608,79.38,68,28,8.01
16,Puerto Ayora,EC,-0.7393,-90.3518,67.55,97,61,4.0
17,Opuwo,NA,-18.0607,13.84,71.24,39,78,7.65
18,Touros,BR,-5.1989,-35.4608,77.72,77,6,11.65
19,Thompson,CA,55.7435,-97.8558,23.16,93,20,8.05
20,Ancud,CL,-41.8697,-73.8203,49.1,90,38,4.88
21,Portland,US,45.5234,-122.6762,49.71,92,75,7.0
22,Bredasdorp,ZA,-34.5322,20.0403,59.9,81,100,11.61
23,Pitangui,BR,-19.6828,-44.8903,63.75,96,100,1.97
24,Chokurdakh,RU,70.6333,147.9167,-30.89,100,66,4.79
25,Matara,LK,5.9485,80.5353,83.01,67,100,7.9
26,Nemuro,JP,43.3236,145.575,46.33,71,100,14.52
27,Hithadhoo,MV,-0.6,73.0833,81.88,74,60,13.85
28,Torbay,CA,47.6666,-52.7314,30.76,86,40,25.32
29,East London,ZA,-33.0153,27.9116,67.14,88,20,5.75
30,Pevek,RU,69.7008,170.3133,-21.35,94,100,2.93
31,Cherskiy,RU,68.75,161.3,-27.27,97,99,0.87
32,Cam Ranh,VN,11.9214,109.1591,85.96,70,20,5.75
33,Castro,BR,-24.7911,-50.0119,60.96,95,23,5.59
34,Bluff,NZ,-46.6,168.3333,56.8,67,33,24.49
35,Vaini,TO,-21.2,-175.2,84.36,74,40,12.66
36,Salalah,OM,17.0151,54.0924,77.83,57,83,2.33
37,Onguday,RU,50.75,86.15,2.62,85,41,1.59
38,Pokaran,IN,26.9167,71.9167,73.58,19,32,4.74
39,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,92,100,23.82
40,Aanekoski,FI,62.6946,25.818,20.86,100,100,5.61
41,Barrow,US,71.2906,-156.7887,6.82,85,100,18.41
42,Hasaki,JP,35.7333,140.8333,66.6,53,23,15.21
43,Koumac,NC,-20.5667,164.2833,80.24,74,43,13.82
44,Mahebourg,MU,-20.4081,57.7,79.25,78,40,8.05
45,Henties Bay,NA,-22.116,14.2845,60.19,83,9,5.03
46,Camalu,MX,30.85,-116.0667,59.22,62,0,4.52
47,Sarkhej,IN,22.9833,72.5,68.13,56,2,5.75
48,Hermanus,ZA,-34.4187,19.2345,57.79,79,100,15.95
49,Namibe,AO,-15.1961,12.1522,72.07,77,33,2.3
50,Busselton,AU,-33.65,115.3333,67.06,51,100,9.86
51,Esperance,AU,-33.8667,121.9,72.77,63,46,17.18
52,Atuona,PF,-9.8,-139.0333,77.76,78,11,13.04
53,New Norfolk,AU,-42.7826,147.0587,65.91,56,98,4.0
54,Hobart,AU,-42.8794,147.3294,66.25,60,94,3.0
55,Turkistan,KZ,43.0,68.0,51.71,57,100,6.46
56,Bethel,US,41.3712,-73.414,41.94,73,0,0.0
57,Alpena,US,45.0617,-83.4327,37.65,93,0,3.44
58,Ilulissat,GL,69.2167,-51.1,14.02,92,12,1.14
59,Taltal,CL,-25.4,-70.4833,62.49,85,41,1.05
60,La Rioja,ES,42.25,-2.5,33.58,84,57,6.8
61,Ushuaia,AR,-54.8,-68.3,38.86,81,75,24.16
62,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,96,4.61
63,Colares,PT,38.7992,-9.4469,65.34,95,59,5.01
64,Narsaq,GL,60.9167,-46.05,41.22,66,97,11.61
65,Salima,MW,-13.7804,34.4587,74.97,77,100,6.17
